AREA|CODE
Bedford, VA|479
Bee County, TX|5022
Bee, TX|2183
Belknap County, NH|3938
Belknap, NH|1480
Bell County, KY|5419
Bell County, TX|3311
Bell, KY|2189
Bell, TX|1214
Belmont County, OH|4731
Belmont, OH|471
Beltrami County, MN|4138
Beltrami, MN|645
Ben Hill County, GA|4886
Ben Hill, GA|2080
Benewah County, ID|5570
Benewah, ID|2136
Bennett County, SD|6086
Bennett, SD|2986
Bennington County, VT|4257
Bennington, VT|722
Benson County, ND|5997
Benson, ND|2907
Bent County, CO|6000
Bent, CO|2776
Benton County, AR|3386
Benton County, IA|4459
Benton County, IN|5326
Benton County, MN|4232
Benton County, MO|4597
Benton County, MS|5700
Benton County, OR|3750
Benton County, TN|4642
Benton County, WA|3453
Benton, AR|191
Benton, IA|1778
Benton, IN|2381
Benton, MN|1628
Benton, MO|1875
Benton, MS|2683
Benton, OR|420
Benton, TN|1913
Benton, WA|235
Benzie County, MI|4621
Benzie, MI|1896
Bergen County, NJ|3163
Bergen, NJ|39
Berkeley County, SC|3448
Berkeley County, WV|3661
Berkeley, SC|232
Berkeley, WV|1359
Berks County, PA|3270
Berks, PA|119
Berkshire County, MA|3572
Berkshire, MA|306
Bernalillo County, NM|3201
Bernalillo, NM|1182
Berrien County, GA|4594
Berrien County, MI|3500
Berrien, GA|1872
Berrien, MI|1287
Bertie County, NC|5434
Bertie, NC|2235
Bethel Borough, AK|5896
Bexar County, TX|3128
Bexar, TX|1161
Bibb County, AL|5081
Bibb County, GA|3502
Bibb, AL|2219
Bibb, GA|1288
Bienville Parish, LA|5674
Bienville, LA|2702
Big Horn County, MT|5545
Big Horn County, WY|4948
Big Horn, MT|2859
Big Horn, WY|2123
Big Stone County, MN|5845
Big Stone, MN|2555
Billings County, ND|6184
Billings, ND|3079
Bingham County, ID|4117
Bingham, ID|1563
Black Hawk County, IA|3573
Black Hawk, IA|307
Blackford County, IN|4939
Blackford, IN|2113
Bladen County, NC|5728
Bladen, NC|2176
Blaine County, ID|4557
Blaine County, MT|5591
Blaine County, NE|6194
Blaine County, OK|5914
Blaine, ID|1848
Blaine, MT|2908
Blaine, NE|2837
Blaine, OK|1045
Blair County, PA|3581
Blair, PA|312
Blanco County, TX|4708
Blanco, TX|1963
Bland County, VA|5361
Bland, VA|1116
Bleckley County, GA|5740
Bleckley, GA|2526
Bledsoe County, TN|5244
Bledsoe, TN|1949
Blount County, AL|3962
Blount County, TN|3590
Blount, AL|1490
Blount, TN|319
Blue Earth County, MN|3899
Blue Earth, MN|502
Boise County, ID|4977
Boise, ID|2143
Bolivar County, MS|5704
Bolivar, MS|2177
Bollinger County, MO|5254
Bollinger, MO|2329
Bon Homme County, SD|5990
Bond County, IL|5156
Bond, IL|1894
Bonner County, ID|4198
Bonner, ID|1605
Bonneville County, ID|3660
Bonneville, ID|1358
Boone County, AR|4263
Boone County, IA|4454
Boone County, IL|3997
Boone County, IN|3968
Boone County, KY|3603
Boone County, MO|3478
Boone County, NE|6026
Boone County, WV|5060
Boone, AR|726
Boone, IA|830
Boone, IL|1507
Boone, IN|1493
Boone, KY|327
Boone, MO|1281
Boone, NE|2786
Boone, WV|2050
Borden County, TX|6238
Borden, TX|3083
Bosque County, TX|4611
Bosque, TX|1886
Bossier Parish, LA|3608
Bossier, LA|1335
Botetourt County, VA|4337
Botetourt, VA|764
Bottineau County, ND|5510
Bottineau, ND|2564
Boulder County, CO|3325
Boulder, CO|155
Boundary County, ID|4953
Boundary, ID|2126
Bourbon County, KS|5197
Bourbon County, KY|4586
Bourbon, KS|2515
Bourbon, KY|927
Bowie County, TX|3718
Bowie, TX|1378
Bowman County, ND|6096
Bowman, ND|3000
Box Butte County, NE|5920
Box Butte, NE|2584
Box Elder County, UT|4048
Box Elder, UT|1528
Boyd County, KY|4057
Boyd County, NE|6137
Boyd, KY|1533
Boyd, NE|2813
Boyle County, KY|4414
Boyle, KY|1748
Bracken County, KY|5334
Bracken, KY|2604
Bradford County, FL|4412
Bradford County, PA|3913
Bradford, FL|1746
Bradford, PA|509
Bradley County, AR|5918
Bradley County, TN|3686
Bradley, AR|1049
Bradley, TN|377
Branch County, MI|4121
Branch, MI|1565
Brantley County, GA|5146
Brantley, GA|2257
Braxton County, WV|5214
Braxton, WV|2296
Brazoria County, TX|3308
Brazoria, TX|1213
Brazos County, TX|3424
Brazos, TX|1258
Breathitt County, KY|5902
Breathitt, KY|2730
Breckinridge County, KY|5122
Breckinridge, KY|925
Bremer County, IA|4505
Bremer, IA|861
Brevard County, FL|3220
Brevard, FL|1188
Brewster County, TX|5315
Brewster, TX|2372
Briscoe County, TX|6158
Briscoe, TX|3061
Bristol Bay Borough, AK|6233
Bristol City, VA|949
Bristol County, MA|3218
Bristol County, RI|4050
Bristol County, VA|5813
Bristol, MA|80
Bristol, RI|595
Broadwater County, MT|4985
Broadwater, MT|2146
Bronx County, NY|3135
Bronx, NY|20
Brooke County, WV|5065
Brooke, WV|2053
Brookings County, SD|5020
Brookings, SD|2181
Brooks County, GA|5183
Brooks County, TX|5989
Brooks, GA|2276
Brooks, TX|2686
Broome County, NY|3411
Broome, NY|211
Broomfield County, CO|3974
Broomfield, CO|550
Broward County, FL|3127
Broward, FL|1160
Brown County, IL|5991
Brown County, IN|4665
Brown County, KS|5300
Brown County, MN|4467
Brown County, NE|6097
Brown County, OH|4131
Brown County, SD|4988
Brown County, TX|4238
Brown County, WI|3367
Brown, IL|2903
Brown, IN|1928
Brown, KS|2358
Brown, MN|1785
Brown, NE|2803
Brown, OH|642
Brown, SD|1648
Brown, TX|1631
Brown, WI|177
Brule County, SD|6034
Brule, SD|2936
Brunswick County, NC|3650
Brunswick County, VA|5777
Brunswick, NC|352
Brunswick, VA|957
Bryan County, GA|4379
Bryan County, OK|4783
Bryan, GA|1728
Bryan, OK|665
Buchanan County, IA|4860
Buchanan County, MO|3730
Buchanan County, VA|4842
Buchanan, IA|906
Buchanan, MO|1384
Buchanan, VA|2052
Buckingham County, VA|5446
Buckingham, VA|1902
Bucks County, PA|3207
Bucks, PA|71
Buena Vista City, VA|1119
Buena Vista County, IA|5116
Buena Vista County, VA|5832
Buena Vista, IA|2071
Buffalo County, NE|4992
Buffalo County, WI|5470
Buffalo, NE|627
Buffalo, WI|1025
Bullitt County, KY|3821
Bullitt, KY|1427
Bulloch County, GA|3844
Bulloch, GA|1439
Bullock County, AL|5926
Bullock, AL|2741
Buncombe County, NC|3373
Buncombe, NC|182
Bureau County, IL|4303
Bureau, IL|1673
Burke County, GA|5074
Burke County, NC|4770
Burke County, ND|6148
Burke, GA|2058
Burke, NC|403
Burke, ND|3049
Burleigh County, ND|3773
Burleigh, ND|1403
Burleson County, TX|5534
Burleson, TX|2844
Burlington County, NJ|3252
Burlington, NJ|105
Burnet County, TX|4163
Burnet, TX|1588
Burnett County, WI|4660
Burnett, WI|990
Burt County, NE|5993
Burt, NE|1115
Butler County, AL|5113
Butler County, IA|5206
Butler County, KS|3881
Butler County, KY|6197
Butler County, MO|4162
Butler County, NE|6206
Butler County, OH|3284
Butler County, PA|3437
Butler, AL|907
Butler, IA|1001
Butler, KS|1457
Butler, KY|2580
Butler, MO|1587
Butler, NE|2605
Butler, OH|129
Butler, PA|225
Butte County, CA|3387
Butte County, ID|6108
Butte County, SD|5482
Butte, CA|192
Butte, ID|3013
Butte, SD|2355
Butts County, GA|4514
Butts, GA|1817
Cabarrus County, NC|3446
Cabarrus, NC|231
Cabell County, WV|3697
Cabell, WV|1369
Cabo Rojo, PR|2159
Cache County, UT|3627
Cache, UT|1340
Caddo County, OK|4819
Caddo Parish, LA|3359
Caddo, LA|1237
Caddo, OK|2029
Caguas, PR|2149
Calaveras County, CA|4118
Calaveras, CA|634
Calcasieu Parish, LA|3427
Calcasieu, LA|1259
Caldwell County, KY|5241
Caldwell County, MO|5568
Caldwell County, NC|3758
Caldwell County, TX|4240
Caldwell Parish, LA|5723
Caldwell, KY|2316
Caldwell, LA|2708
Caldwell, MO|2366
Caldwell, NC|425
Caldwell, TX|1632
Caledonia County, VT|4370
Caledonia, VT|786
Calhoun County, AL|3604
Calhoun County, AR|6031
Calhoun County, FL|5211
Calhoun County, GA|5663
Calhoun County, IA|5304
Calhoun County, IL|6037
Calhoun County, MI|3554
Calhoun County, MS|5538
Calhoun County, SC|5459
Calhoun County, TX|4556
Calhoun County, WV|5978
Calhoun, AL|328
Calhoun, AR|2787
Calhoun, FL|2519
Calhoun, GA|2774
Calhoun, IA|1078
Calhoun, IL|2790
Calhoun, MI|1313
Calhoun, MS|2847
Calhoun, SC|995
Calhoun, TX|1847
Calhoun, WV|2413
Callahan County, TX|5231
Callahan, TX|2309
Callaway County, MO|4140
Callaway, MO|1575
Calloway County, KY|4256
Calloway, KY|1639
Calumet County, WI|4063
Calumet, WI|603
Calvert County, MD|3737
Calvert, MD|411
Camas County, ID|6176
Camas, ID|3073
Cambria County, PA|3533
Cambria, PA|288
Camden County, GA|4041
Camden County, MO|4144
Camden County, NC|4713
Camden County, NJ|3233
Camden, GA|1526
Camden, MO|1576
Camden, NC|1076
Camden, NJ|91
Cameron County, PA|5514
Cameron County, TX|3271
Cameron Parish, LA|5508
Cameron, LA|3088
Cameron, PA|2659
Cameron, TX|1201
Camp County, TX|5252
Camp, TX|2328
Campbell County, KY|3725
Campbell County, SD|6229
Campbell County, TN|4201
Campbell County, VA|3990
Campbell County, WY|4107
Campbell, KY|404
Campbell, TN|1607
Campbell, VA|559
Campbell, WY|1558
Camuy, PR|2557
Canadian County, OK|3616
Canadian, OK|336
Candler County, GA|5478
Candler, GA|2125
Cannon County, TN|5227
Cannon, TN|1021
Canyon County, ID|3432
Canyon, ID|1263
Cape Girardeau County, MO|3808
Cape Girardeau, MO|1419
Cape May County, NJ|3694
Cape May, NJ|383
Carbon County, MT|4957
Carbon County, PA|3889
Carbon County, UT|5104
Carbon County, WY|4653
Carbon, MT|2002
Carbon, PA|496
Carbon, UT|2232
Carbon, WY|1921
Caribou County, ID|5686
Caribou, ID|2902
Carlisle County, KY|5765
Carlisle, KY|2789
Carlton County, MN|4294
Carlton, MN|741
Carolina, PR|2007
Caroline County, MD|4340
Caroline County, VA|4410
Caroline, MD|768
Caroline, VA|809
Carroll County, AR|4432
Carroll County, GA|3634
Carroll County, IA|4864
Carroll County, IL|4662
Carroll County, IN|4584
Carroll County, KY|5479
Carroll County, MD|3468
Carroll County, MO|5313
Carroll County, MS|5558
Carroll County, NH|4074
Carroll County, OH|4398
Carroll County, TN|4411
Carroll County, VA|4382
Carroll, AR|819
Carroll, GA|1346
Carroll, IA|2068
Carroll, IL|1927
Carroll, IN|1864
Carroll, KY|2346
Carroll, MD|243
Carroll, MO|2370
Carroll, MS|2866
Carroll, NH|1541
Carroll, OH|800
Carroll, TN|1745
Carroll, VA|792
Carson City, NV|555
Carson County, TX|5597
Carson, TX|2914
Carter County, KY|4832
Carter County, MO|5856
Carter County, MT|6210
Carter County, OK|4082
Carter County, TN|3960
Carter, KY|2042
Carter, MO|2430
Carter, MT|3072
Carter, OK|612
Carter, TN|543
Carteret County, NC|3875
Carteret, NC|488
Carver County, MN|3723
Carver, MN|402
Cascade County, MT|3772
Cascade, MT|1402
Casey County, KY|4907
Casey, KY|2280
Cass County, IA|4931
Cass County, IL|4933
Cass County, IN|4740
Cass County, MI|4020
Cass County, MN|4408
Cass County, MO|3682
Cass County, ND|3517
Cass County, NE|4484
Cass County, TX|4377
Cass, IA|1017
Cass, IL|2308
Cass, IN|1983
Cass, MI|1518
Cass, MN|807
Cass, MO|1365
Cass, ND|1293
Cass, NE|844
Cass, TX|1726
Cassia County, ID|5079
Cassia, ID|2217
Castro County, TX|5577
Castro, TX|2887
Caswell County, NC|4844
Caswell, NC|864
Catahoula Parish, LA|5680
Catahoula, LA|2707
Catawba County, NC|3505
Catawba, NC|271
Catoosa County, GA|3900
Catoosa, GA|1466
Catron County, NM|4987
Catron, NM|2448
Cattaraugus County, NY|3777
Cattaraugus, NY|433
Cavalier County, ND|6071
Cayey, PR|2558
Cayuga County, NY|3779
Cayuga, NY|434
Cecil County, MD|3675
Cecil, MD|371
Cedar County, IA|4878
Cedar County, MO|4682
Cedar County, NE|5885
Cedar, IA|2076
Cedar, MO|1941
Cedar, NE|2599
Ceiba, PR|6243
Centre County, PA|3506
Centre, PA|272
Cerro Gordo County, IA|4143
Cerro Gordo, IA|648
Chaffee County, CO|4617
Chaffee, CO|951
Chambers County, AL|4317
Chambers County, TX|4299
Chambers, AL|754
Chambers, TX|1669
Champaign County, IL|3409
Champaign County, OH|4211
Champaign, IL|1253
Champaign, OH|692
Chariton County, MO|5725
Chariton, MO|3103
Charles City County, VA|5852
Charles City, VA|1111
Charles County, MD|3526
Charles County, VA|5835
Charles Mix County, SD|5949
Charles, MD|285
Charleston County, SC|3291
Charleston, SC|135
Charlevoix County, MI|4466
Charlevoix, MI|1783
Charlotte County, FL|3488
Charlotte County, VA|5474
Charlotte, FL|1283
Charlotte, VA|2732
Charlottesville City, VA|1581
Charlottesville County, VA|5806
Charlton County, GA|5912
Charlton, GA|2734
Chase County, KS|5645
Chase County, NE|6073
Chase, KS|3017
Chase, NE|2797
Chatham County, GA|3351
Chatham County, NC|3904
Chatham, GA|1234
Chatham, NC|1469
Chattahoochee County, GA|5742
Chattahoochee, GA|2738
Chattooga County, GA|5049
Chattooga, GA|2199
Chautauqua County, KS|5698
Chautauqua County, NY|3556
Chautauqua, KS|2980
Chautauqua, NY|298
Chaves County, NM|3883
Chaves, NM|1458
Cheatham County, TN|4224
Cheatham, TN|701
Cheboygan County, MI|4456
Cheboygan, MI|1776
Chelan County, WA|3832
Chelan, WA|466
Chemung County, NY|3734
Chemung, NY|408
Chenango County, NY|4042
Chenango, NY|589
Cherokee County, AL|4464
Cherokee County, GA|3393
Cherokee County, IA|5260
Cherokee County, KS|4753
Cherokee County, NC|4433
Cherokee County, OK|4092
Cherokee County, SC|3984
Cherokee County, TX|4040
Cherokee, AL|834
Cherokee, GA|1248
Cherokee, IA|2528
Cherokee, KS|2065
Cherokee, NC|820
Cherokee, OK|617
Cherokee, SC|554
Cherokee, TX|1525
Cherry County, NE|5761
Cherry, NE|2785
Chesapeake City, VA|190
Chesapeake County, VA|5798
Cheshire County, NH|3797
Cheshire, NH|1413
Chester County, PA|3236
Chester County, SC|5017
Chester County, TN|5164
Chester, PA|94
Chester, SC|765
Chester, TN|964
Chesterfield County, SC|4780
Chesterfield County, VA|3306
Chesterfield, SC|621
Chesterfield, VA|144
Cheyenne County, CO|6151
Cheyenne County, KS|5646
Cheyenne County, NE|4766
Cheyenne, CO|1153
Cheyenne, KS|3019
Cheyenne, NE|2131
Chickasaw County, IA|5250
Chickasaw County, MS|5532
Chickasaw, IA|2643
Chickasaw, MS|2666
Chicot County, AR|5846
Chicot, AR|2583
Childress County, TX|5585
Childress, TX|2901
Chilton County, AL|4150
Chilton, AL|652
Chippewa County, MI|4231
Chippewa County, MN|5660
Chippewa County, WI|3917
Chippewa, MI|704
Chippewa, MN|2527
Chippewa, WI|512
Chisago County, MN|3999
Chisago, MN|564
Chittenden County, VT|3501
Chittenden, VT|268
Choctaw County, AL|5904
Choctaw County, MS|5574
Choctaw County, OK|4915
Choctaw, AL|2852
Choctaw, MS|2882
Choctaw, OK|2097
Chouteau County, MT|5606
Chouteau, MT|2924
Chowan County, NC|4672
Chowan, NC|1934
Christian County, IL|4744
Christian County, KY|3824
Christian County, MO|3793
Christian, IL|2023
Christian, KY|460
Christian, MO|1410
Churchill County, NV|4492
Churchill, NV|847
Cibola County, NM|5424
Cibola, NM|2469
Cidra, PR|2559
Cimarron County, OK|6118
Cimarron, OK|1151
Citrus County, FL|3537
Citrus, FL|1303
Clackamas County, OR|3280
Clackamas, OR|125
Claiborne County, MS|5567
Claiborne County, TN|5019
Claiborne Parish, LA|5670
Claiborne, LA|2698
Claiborne, MS|2878
Claiborne, TN|1712
Clallam County, WA|3837
Clallam, WA|1434
Clare County, MI|4373
Clare, MI|1723
Clarendon County, SC|4304
Clarendon, SC|744
Clarion County, PA|5004
Clarion, PA|695
Clark County, AR|5078
Clark County, ID|6180
Clark County, IL|5181
Clark County, IN|3635
Clark County, KS|5650
Clark County, KY|4288
Clark County, MO|5712
Clark County, NV|3122
Clark County, OH|3544
Clark County, SD|6080
Clark County, WA|3262
Clark County, WI|4310
Clark, AR|876
Clark, IL|2509
Clark, IN|1347
Clark, KS|3041
Clark, KY|1661
Clark, MO|2898
Clark, NV|10
Clark, OH|292
Clark, SD|2978
Clark, WA|113
Clark, WI|1677
Clarke County, AL|5050
Clarke County, GA|3611
Clarke County, IA|5314
Clarke County, MS|5172
Clarke County, VA|4681
Clarke, AL|836
Clarke, GA|1336
Clarke, IA|2650
Clarke, MS|2668
Clarke, VA|1014
Clatsop County, OR|4261
Clatsop, OR|723
Clay County, AL|5221
Clay County, AR|5185
Clay County, FL|3428
Clay County, GA|6094
Clay County, IA|5173
Clay County, IL|5905
Clay County, IN|4443
Clay County, KS|5331
Clay County, KY|5894
Clay County, MN|3949
Clay County, MO|3384
Clay County, MS|4868
Clay County, NC|4707
Clay County, NE|5823
Clay County, SD|5903
Clay County, TN|5343
Clay County, TX|5282
Clay County, WV|5311
Clay, AL|2301
Clay, AR|2278
Clay, FL|1260
Clay, GA|2801
Clay, IA|969
Clay, IL|2463
Clay, IN|1768
Clay, KS|2389
Clay, KY|2720
Clay, MN|536
Clay, MO|1246
Clay, MS|2070
Clay, NC|1067
Clay, NE|2613
Clay, TN|2405
Clay, TX|2347
Clay, WV|2369
Clayton County, GA|3356
Clayton County, IA|4883
Clayton, GA|1236
Clayton, IA|2078
Clear Creek County, CO|5319
Clear Creek, CO|1087
Clearfield County, PA|3769
Clearfield, PA|430
Clearwater County, ID|5327
Clearwater County, MN|5959
Clearwater, ID|2383
Clearwater, MN|2543
Cleburne County, AL|5203
Cleburne County, AR|4465
Cleburne, AL|2516
Cleburne, AR|835
Clermont County, OH|3418
Clermont, OH|214
Cleveland County, AR|5681
Cleveland County, NC|3692
Cleveland County, OK|3358
Cleveland, AR|1093
Cleveland, NC|382
Cleveland, OK|172
Clinch County, GA|5994
Clinch, GA|2772
Clinton County, IA|4778
Clinton County, IL|4246
Clinton County, IN|5525
Clinton County, KY|5844
Clinton County, MI|3813
Clinton County, MO|4570
Clinton County, NY|3767
Clinton County, OH|4784
Clinton County, PA|4221
Clinton, IA|602
Clinton, IL|1635
Clinton, IN|1985
Clinton, KY|2353
Clinton, MI|1423
Clinton, MO|1856
Clinton, NY|429
Clinton, OH|672
Clinton, PA|699
Cloud County, KS|5308
Cloud, KS|2364
Coahoma County, MS|5527
Coahoma, MS|2664
Coal County, OK|6014
Coal, OK|1128
Coamo, PR|2565
Cobb County, GA|3195
Cobb, GA|1179
Cochise County, AZ|3571
Cochise, AZ|305
Cochran County, TX|6099
Cochran, TX|3001
Cocke County, TN|4285
Cocke, TN|1659
Coconino County, AZ|3558
Coconino, AZ|300
Codington County, SD|5423
Codington, SD|2484
Coffee County, AL|4049
Coffee County, GA|5001
Coffee County, TN|4012
Coffee, AL|594
Coffee, GA|2013
Coffee, TN|1514
Coffey County, KS|5330
Coffey, KS|2387
Coke County, TX|6091
Coke, TX|2993
Colbert County, AL|3994
Colbert, AL|561
Cole County, MO|3806
Cole, MO|1418
Coleman County, TX|5323
Coleman, TX|2682
Coles County, IL|4000
Coles, IL|1508
Colfax County, NE|5928
Colfax County, NM|4758
Colfax, NE|1069
Colfax, NM|1997
Colleton County, SC|4226
Colleton, SC|703
Collier County, FL|3303
Collier, FL|1212
Collin County, TX|3183
Collin, TX|54
Collingsworth County, TX|6102
Collingsworth, TX|3006
Colonial Heights City, VA|959
Colonial Heights County, VA|5814
Colorado County, TX|5114
Colorado, TX|2494
Colquitt County, GA|4994
Colquitt, GA|2170
Columbia County, AR|5061
Columbia County, FL|3866
Columbia County, GA|3588
Columbia County, NY|3910
Columbia County, OR|4060
Columbia County, PA|3867
Columbia County, WA|5516
Columbia County, WI|3965
Columbia, AR|854
Columbia, FL|1451
Columbia, GA|1326
Columbia, NY|507
Columbia, OR|599
